HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
2022-08-13, 00, 12.1, 59, 189, 8, 0.00
2022-08-13, 01, 11.7, 60, 178, 8, 0.00
2022-08-13, 02, 11.4, 60, 164, 7, 0.00
2022-08-13, 03, 11.0, 61, 151, 7, 0.00
2022-08-13, 04, 10.6, 61, 146, 7, 0.00
2022-08-13, 05, 10.1, 60, 142, 8, 0.00
2022-08-13, 06, 9.7, 60, 137, 8, 0.00
2022-08-13, 07, 11.5, 54, 142, 9, 0.00
2022-08-13, 08, 13.2, 49, 146, 11, 0.00
2022-08-13, 09, 15.0, 43, 149, 12, 0.00
2022-08-13, 10, 16.6, 40, 155, 12, 0.00
2022-08-13, 11, 18.2, 38, 161, 11, 0.00
2022-08-13, 12, 19.8, 35, 167, 11, 0.00
2022-08-13, 13, 20.8, 35, 176, 12, 0.00
2022-08-13, 14, 21.9, 34, 184, 12, 0.00
2022-08-13, 15, 22.9, 34, 191, 13, 0.00
2022-08-13, 16, 23.0, 34, 196, 12, 0.00
2022-08-13, 17, 23.1, 35, 200, 12, 0.00
2022-08-13, 18, 23.2, 35, 206, 11, 0.00
2022-08-13, 19, 21.4, 41, 191, 10, 0.00
2022-08-13, 20, 19.7, 46, 170, 9, 0.00
2022-08-13, 21, 17.9, 52, 147, 8, 0.00
2022-08-13, 22, 16.7, 52, 134, 8, 0.00
2022-08-13, 23, 15.4, 53, 122, 9, 0.00
2022-08-14, 00, 14.2, 53, 112, 9, 0.00
2022-08-14, 01, 13.8, 54, 112, 9, 0.00
2022-08-14, 02, 13.4, 55, 112, 10, 0.00
2022-08-14, 03, 13.0, 56, 112, 10, 0.00
2022-08-14, 04, 12.6, 57, 111, 10, 0.00
2022-08-14, 05, 12.3, 57, 110, 10, 0.00
2022-08-14, 06, 11.9, 58, 109, 10, 0.00
2022-08-14, 07, 13.9, 55, 117, 11, 0.00
2022-08-14, 08, 15.8, 52, 123, 11, 0.00
2022-08-14, 09, 17.8, 49, 129, 12, 0.00
2022-08-14, 10, 19.7, 44, 134, 12, 0.00
2022-08-14, 11, 21.5, 39, 138, 13, 0.00
2022-08-14, 12, 23.4, 34, 143, 13, 0.00
2022-08-14, 13, 24.2, 31, 138, 13, 0.00
2022-08-14, 14, 25.1, 28, 133, 13, 0.00
2022-08-14, 15, 25.9, 25, 129, 13, 0.00
2022-08-14, 16, 25.8, 25, 132, 12, 0.00
2022-08-14, 17, 25.7, 24, 135, 12, 0.00
2022-08-14, 18, 25.6, 24, 138, 11, 0.00
2022-08-14, 19, 23.5, 30, 124, 11, 0.00
2022-08-14, 20, 21.4, 36, 109, 11, 0.00
2022-08-14, 21, 19.3, 42, 095, 11, 0.00
2022-08-14, 22, 18.4, 44, 096, 11, 0.00
2022-08-14, 23, 17.5, 45, 097, 11, 0.00
2022-08-15, 00, 16.6, 47, 099, 11, 0.00
2022-08-15, 01, 16.2, 48, 104, 11, 0.00
2022-08-15, 02, 15.9, 50, 110, 11, 0.00
2022-08-15, 03, 15.5, 51, 116, 11, 0.00
2022-08-15, 04, 15.2, 52, 119, 11, 0.00
2022-08-15, 05, 14.8, 54, 123, 10, 0.00
2022-08-15, 06, 14.5, 55, 127, 10, 0.00
2022-08-15, 07, 16.5, 50, 137, 11, 0.00
2022-08-15, 08, 18.6, 46, 146, 12, 0.00
2022-08-15, 09, 20.6, 41, 152, 13, 0.00
2022-08-15, 10, 21.9, 42, 164, 13, 0.00
2022-08-15, 11, 23.2, 43, 176, 14, 0.00
2022-08-15, 12, 24.5, 44, 187, 14, 0.00
2022-08-15, 13, 25.4, 42, 193, 15, 0.00
2022-08-15, 14, 26.2, 41, 199, 16, 0.00
2022-08-15, 15, 27.1, 39, 204, 17, 0.00
2022-08-15, 16, 26.8, 39, 210, 15, 0.00
2022-08-15, 17, 26.6, 38, 218, 14, 0.00
2022-08-15, 18, 26.3, 38, 228, 12, 0.00
2022-08-15, 19, 24.3, 43, 222, 11, 0.00
2022-08-15, 20, 22.3, 48, 215, 9, 0.00
2022-08-15, 21, 20.3, 53, 204, 8, 0.00
2022-08-15, 22, 19.2, 53, 203, 8, 0.00
2022-08-15, 23, 18.1, 53, 201, 8, 0.00
2022-08-16, 00, 17.0, 53, 200, 8, 0.00
2022-08-16, 01, 16.6, 54, 194, 7, 0.00
2022-08-16, 02, 16.1, 55, 186, 6, 0.00
2022-08-16, 03, 15.7, 56, 175, 5, 0.00
2022-08-16, 04, 15.5, 57, 173, 4, 0.00
2022-08-16, 05, 15.2, 59, 168, 3, 0.00
2022-08-16, 06, 15.0, 60, 159, 2, 0.00
2022-08-16, 07, 17.1, 55, 290, 4, 0.00
2022-08-16, 08, 19.2, 50, 313, 5, 0.00
2022-08-16, 09, 21.3, 45, 317, 7, 0.00
2022-08-16, 10, 22.8, 43, 307, 7, 0.00
2022-08-16, 11, 24.4, 42, 298, 7, 0.00
2022-08-16, 12, 25.9, 40, 290, 7, 0.00
2022-08-16, 13, 26.8, 38, 292, 9, 0.00
2022-08-16, 14, 27.6, 36, 293, 12, 0.00
2022-08-16, 15, 28.5, 34, 294, 14, 0.00
2022-08-16, 16, 28.3, 34, 286, 14, 0.00
2022-08-16, 17, 28.0, 33, 277, 14, 0.00
2022-08-16, 18, 27.8, 33, 269, 14, 0.00
2022-08-16, 19, 25.5, 41, 263, 13, 0.00
2022-08-16, 20, 23.3, 49, 256, 11, 0.00
2022-08-16, 21, 21.0, 57, 247, 10, 0.00
2022-08-16, 22, 20.0, 58, 256, 9, 0.00
2022-08-16, 23, 19.0, 59, 269, 8, 0.00
2022-08-17, 00, 18.0, 60, 286, 7, 0.00
2022-08-17, 01, 17.7, 62, 288, 6, 0.00
2022-08-17, 02, 17.4, 64, 290, 5, 0.00
2022-08-17, 03, 17.1, 66, 294, 4, 0.00
2022-08-17, 04, 16.9, 67, 263, 4, 0.00
2022-08-17, 05, 16.7, 67, 180, 4, 0.00
2022-08-17, 06, 16.5, 68, 155, 4, 0.00
2022-08-17, 07, 17.8, 64, 173, 5, 0.00
2022-08-17, 08, 19.2, 59, 184, 7, 0.00
2022-08-17, 09, 20.5, 55, 191, 8, 0.00
2022-08-17, 10, 22.1, 49, 202, 8, 0.00
2022-08-17, 11, 23.7, 44, 212, 9, 0.00
2022-08-17, 12, 25.3, 38, 222, 9, 0.00
